	nome_produto	valor_produto	data_busca	link_produto
0	Óculos de Realidade Virtual para Galaxy Samsung - Gear VR	799.0	5/10/2017	https://www.magazineluiza.com.br/oculos-de-realidade-virtual-para-galaxy-samsung-gear-vr/p/0404122/te/ssgr/
1	Smart Watch uWear com Display Touch Screen para Android - uWear	282.0	5/10/2017	https://www.magazineluiza.com.br/smart-watch-uwear-com-display-touch-screen-para-android-uwear/p/7443070/te/smtw/
2	Smartwatch Relógio Celular 3g Chip compatível Android Iphone Samsung com bluetooth - Power XL	299.0	5/10/2017	https://www.magazineluiza.com.br/smartwatch-relogio-celular-3g-chip-compativel-android-iphone-samsung-com-bluetooth-power-xl/p/7679544/te/smtw/
3	Relógio Smartwatch U8 Bluetooth Para Celular Iphone Android - Power XL	99.0	5/10/2017	https://www.magazineluiza.com.br/relogio-smartwatch-u8-bluetooth-para-celular-iphone-android-power-xl/p/7713639/te/smtw/
4	Relógio smartwatch u8 bluetooth para celular compatível android e iphone - U8	99.0	5/10/2017	https://www.magazineluiza.com.br/relogio-smartwatch-u8-bluetooth-para-celular-compativel-android-e-iphone-u8/p/7744547/te/smtw/
5	Relógio Smartwatch U8 Bluetooth Para Celular Iphone Android - Power XL	139.9	5/10/2017	https://www.magazineluiza.com.br/relogio-smartwatch-u8-bluetooth-para-celular-iphone-android-power-xl/p/7762974/te/smtw/
6	Smartband/Monitor de Atividades Digital SSmart - Dynamo - Oregon	234.9	5/10/2017	https://www.magazineluiza.com.br/smartband-monitor-de-atividades-digital-ssmart-dynamo-oregon/p/0877203/es/smbd/
7	K88H Smart Watch - Compatível com Androis e Ios. Aço Inox - Preto - Modelo MTK2502		5/10/2017	https://www.magazineluiza.com.br/k88h-smart-watch-compativel-com-androis-e-ios.-aco-inox-preto-modelo-mtk2502/p/7626834/te/smtw/
8	SMA - 09 Smart Watch - Compatível com Android e iOS. Aço Inox - Preto - Modelo MTK2502		5/10/2017	https://www.magazineluiza.com.br/sma-09-smart-watch-compativel-com-android-e-ios.-aco-inox-preto-modelo-mtk2502/p/7589681/te/smtw/
9	Smartwatch Samsung Gear S2 Sport SM-R720 Prata com Monitor Cardíaco e Barômetro - Samsung		5/10/2017	https://www.magazineluiza.com.br/smartwatch-samsung-gear-s2-sport-sm-r720-prata-com-monitor-cardiaco-e-barometro-samsung/p/7971135/te/smtw/
10	Pen Drive Smurf Dando Tchau Desenho Clássico 4 ou 8 GB - Mega Empório	46.67	5/10/2017	https://www.magazineluiza.com.br/pen-drive-smurf-dando-tchau-desenho-classico-4-ou-8-gb-mega-emporio/p/7176072/ia/inaz/
11	Pen Drive Boneco com Fones de Ouvido - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-boneco-com-fones-de-ouvido-mega-emporio/p/7171813/ia/inaz/
12	Pen Drive Batata MC Donald - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-batata-mc-donald-mega-emporio/p/7205571/ia/inaz/
13	Pen Drive Médico em Lego - Mega Empório	46.67	5/10/2017	https://www.magazineluiza.com.br/pen-drive-medico-em-lego-mega-emporio/p/7207820/ia/inaz/
14	Pen Drive Pato Donald Jogador de Futebol - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-pato-donald-jogador-de-futebol-mega-emporio/p/7211706/ia/inaz/
15	Pen Drive Basquete NBA - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-basquete-nba-mega-emporio/p/7156570/ia/inaz/
16	Pen Drive Boneco Music com Fone de Ouvido - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-boneco-music-com-fone-de-ouvido-mega-emporio/p/7159693/ia/inaz/
