nome_produto	valor_produto	data_busca	link_produto
Multifuncional HP Deskjet Ink Advantage 2676 - Jato de Tinta LCD Wi-Fi USB 2.0	349.9	2017-10-09	https://www.magazineluiza.com.br/multifuncional-hp-deskjet-ink-advantage-2676-jato-de-tinta-lcd-wi-fi-usb-2.0/p/1354330/ia/iass/
Roteador Wireless Gothan GWR 301 - 150Mbps 1 Antena 1 Porta 3G	79.9	2017-10-09	https://www.magazineluiza.com.br/roteador-wireless-gothan-gwr-301-150mbps-1-antena-1-porta-3g/p/0882489/ia/iarr/
Cartão de Memória 8GB Micro SDHC com Adaptador - Kingston SDC10	32.9	2017-10-09	https://www.magazineluiza.com.br/cartao-de-memoria-8gb-micro-sdhc-com-adaptador-kingston-sdc10/p/2114538/ia/icme/
Nobreak 400VA Filtro de linha integrado - APC Back Ups BZ	339.9	2017-10-09	https://www.magazineluiza.com.br/nobreak-400va-filtro-de-linha-integrado-apc-back-ups-bz/p/0882305/ia/ianb/
Impressora Brother HL1212W Laser Monocromática - Wi-Fi USB	549.9	2017-10-09	https://www.magazineluiza.com.br/impressora-brother-hl1212w-laser-monocromatica-wi-fi-usb/p/2145333/ia/iaim/
Multifuncional Epson EcoTank L395 Tanque de Tinta - Colorida Wi-Fi USB 2.0	1099.0	2017-10-09	https://www.magazineluiza.com.br/multifuncional-epson-ecotank-l395-tanque-de-tinta-colorida-wi-fi-usb-2.0/p/2173271/ia/iass/
Multifuncional HP DeskJet Ink Advantage 3636 - Jato de Tinta Colorida Wi-fi	599.0	2017-10-09	https://www.magazineluiza.com.br/multifuncional-hp-deskjet-ink-advantage-3636-jato-de-tinta-colorida-wi-fi/p/1354324/ia/iass/
Multifuncional Samsung M2070W Laser - LCD Wi-Fi USB	779.9	2017-10-09	https://www.magazineluiza.com.br/multifuncional-samsung-m2070w-laser-lcd-wi-fi-usb/p/2181468/ia/iass/
Pen Drive 8GB Toshiba Hayabusa - USB 2.0	15.9	2017-10-09	https://www.magazineluiza.com.br/pen-drive-8gb-toshiba-hayabusa-usb-2.0/p/2168683/ia/iapd/
Multifuncional Canon Pixma MG3610 - Jato de Tinta Colorida Wi-Fi USB	229.9	2017-10-09	https://www.magazineluiza.com.br/multifuncional-canon-pixma-mg3610-jato-de-tinta-colorida-wi-fi-usb/p/2155649/ia/iass/
Mouse Sem Fio Laser 1000dpi - Logitech M170	29.9	2017-10-09	https://www.magazineluiza.com.br/mouse-sem-fio-laser-1000dpi-logitech-m170/p/2168648/ia/mauz/
Microsoft Office 365 Personal - 1TB de Armazenamento Válidos por 1 Ano	119.9	2017-10-09	https://www.magazineluiza.com.br/microsoft-office-365-personal-1tb-de-armazenamento-validos-por-1-ano/p/2168688/ia/poff/
"Notebook Lenovo Ideapad 320 Intel Core i5 8GB 1 TB - LED 15,6"" Windows 10"	2249.9	2017-10-09	https://www.magazineluiza.com.br/notebook-lenovo-ideapad-320-intel-core-i5-8gb-1-tb-led-15-6-windows-10/p/2183136/in/note/
"Notebook Acer Aspire F5 Intel Core i5 - 8GB 1TB LED 15,6"" GeForce 2GB Windows 10"	2549.0	2017-10-09	https://www.magazineluiza.com.br/notebook-acer-aspire-f5-intel-core-i5-8gb-1tb-led-15-6-geforce-2gb-windows-10/p/2173921/in/note/
"Notebook Dell Inspiron i15-5566-A70B Intel Core i7 - 8GB 1TB LED 15,6"" Placa de Video 2GB Windows 10"	2999.0	2017-10-09	https://www.magazineluiza.com.br/notebook-dell-inspiron-i15-5566-a70b-intel-core-i7-8gb-1tb-led-15-6-placa-de-video-2gb-windows-10/p/2180361/in/nodl/
"Notebook Dell Inspiron i15-5566-A10P Intel Core i3 - 4GB 1TB LED 15,6"" Windows 10"	1889.0	2017-10-09	https://www.magazineluiza.com.br/notebook-dell-inspiron-i15-5566-a10p-intel-core-i3-4gb-1tb-led-15-6-windows-10/p/1352353/in/nodl/
"Notebook Dell Inspiron i15-5566-D30P Intel Core i5 - 4GB 1TB LED 15,6"" Linux"	2089.0	2017-10-09	https://www.magazineluiza.com.br/notebook-dell-inspiron-i15-5566-d30p-intel-core-i5-4gb-1tb-led-15-6-linux/p/2175232/in/nodl/
"Notebook Dell Inspiron 15 i15-5566-D10B Série 5000 - Intel Core i3 4GB 1TB LED 15,6"" Linux"	1799.0	2017-10-09	https://www.magazineluiza.com.br/notebook-dell-inspiron-15-i15-5566-d10b-serie-5000-intel-core-i3-4gb-1tb-led-15-6-linux/p/2186193/in/nodl/
"Notebook Positivo Stilo XC3650 Intel Dual Core - 4GB 500GB LCD 14"" Windows 10"	1299.9	2017-10-09	https://www.magazineluiza.com.br/notebook-positivo-stilo-xc3650-intel-dual-core-4gb-500gb-lcd-14-windows-10/p/2183961/in/note/
"Notebook Acer Aspire F5 Intel Core i5 7ª Geração - 8GB 1TB LED 15,6"" Windows 10"	2339.0	2017-10-09	https://www.magazineluiza.com.br/notebook-acer-aspire-f5-intel-core-i5-7-geracao-8gb-1tb-led-15-6-windows-10/p/2175206/in/note/
"Notebook Dell Inspiron i15-5566-D10P Intel Core i3 - 4GB 1TB LED 15,6"" Linux"	1789.0	2017-10-09	https://www.magazineluiza.com.br/notebook-dell-inspiron-i15-5566-d10p-intel-core-i3-4gb-1tb-led-15-6-linux/p/2180362/in/nodl/
"Notebook Lenovo Ideapad 320 Intel Dual Core 4GB - 1TB LED 15,6"" Windows 10"	1449.9	2017-10-09	https://www.magazineluiza.com.br/notebook-lenovo-ideapad-320-intel-dual-core-4gb-1tb-led-15-6-windows-10/p/2183137/in/note/
"Notebook Lenovo Ideapad 320 Intel Core i7 8GB 1 TB - LED 15,6"" Full HD Placa Geforce 2GB Windows 10"	2999.0	2017-10-09	https://www.magazineluiza.com.br/notebook-lenovo-ideapad-320-intel-core-i7-8gb-1-tb-led-15-6-full-hd-placa-geforce-2gb-windows-10/p/2183134/in/note/
"Notebook Dell Inspiron i15-5567-A40C Intel Core i7 - 7ª Geração 8GB 1TB LED 15.6"" Placa de video 4GB"	3289.0	2017-10-09	https://www.magazineluiza.com.br/notebook-dell-inspiron-i15-5567-a40c-intel-core-i7-7-geracao-8gb-1tb-led-15.6-placa-de-video-4gb/p/2172762/in/nodl/
"Notebook Vaio Fit 15S Intel Core i5 7ª Geração - 8GB 1TB LED 15,6"" Windows 10"	2439.0	2017-10-09	https://www.magazineluiza.com.br/notebook-vaio-fit-15s-intel-core-i5-7-geracao-8gb-1tb-led-15-6-windows-10/p/2173013/in/note/
"Notebook Samsung Essentials E34 Intel Core i3 - 4GB 1TB LED 15,6"" Full HD Windows 10"	1799.0	2017-10-09	https://www.magazineluiza.com.br/notebook-samsung-essentials-e34-intel-core-i3-4gb-1tb-led-15-6-full-hd-windows-10/p/2176047/in/note/
"Notebook Acer Aspire 5 A515-51-52CT Intel Core i5 - 4GB 1TB LED 15,6"" Full HD Windows 10"	2199.0	2017-10-09	https://www.magazineluiza.com.br/notebook-acer-aspire-5-a515-51-52ct-intel-core-i5-4gb-1tb-led-15-6-full-hd-windows-10/p/2184272/in/note/
"Notebook 2 em 1 Dell Inspiron i13-5378-A20C Intel - Core i5 8GB 1TB LED 13,3"" Full HD Touch Windows 10"	2989.0	2017-10-09	https://www.magazineluiza.com.br/notebook-2-em-1-dell-inspiron-i13-5378-a20c-intel-core-i5-8gb-1tb-led-13-3-full-hd-touch-windows-10/p/2175196/in/no21/
"Notebook 2 em 1 Lenovo Yoga 520 Intel Core i7 8GB - 1TB LED 14"" Touch Screen Windows 10"	3299.0	2017-10-09	https://www.magazineluiza.com.br/notebook-2-em-1-lenovo-yoga-520-intel-core-i7-8gb-1tb-led-14-touch-screen-windows-10/p/2183139/in/no21/
Notebook Dell Inspiron i14-7460-A30S Intel Core i7 - 7ª Geração 16GB 1TB LED 14 Full HD Placa Vídeo 4GB	3949.9	2017-10-09	https://www.magazineluiza.com.br/notebook-dell-inspiron-i14-7460-a30s-intel-core-i7-7-geracao-16gb-1tb-led-14-full-hd-placa-video-4gb/p/2172760/in/nodl/
"Notebook Samsung Expert X23 Intel Core i5 - 8GB 1TB LED 15,6"" GeForce 920MX 2GB Windows 10"	2499.0	2017-10-09	https://www.magazineluiza.com.br/notebook-samsung-expert-x23-intel-core-i5-8gb-1tb-led-15-6-geforce-920mx-2gb-windows-10/p/2178002/in/note/
